id,ürün fiyatı
0,14.287
1,6.534000000000001
2,38.813
3,9.169999999999998
4,6.9959999999999996
5,26.681999999999995
6,22.267000000000003
7,19.051000000000002
8,13.220000000000002
9,18.594
10,31.185000000000002
11,2.9230000000000005
12,43.308
13,28.133
14,11.873000000000001
15,7.2090000000000005
16,9.367999999999999
17,32.06
18,5.255
19,11.857
20,7.078999999999999
21,1.1539999999999997
22,1.52
23,9.302
24,50.169
25,13.874
26,4.662000000000001
27,1.953
28,10.702
29,48.19
30,9.39
31,11.747
32,13.865
33,43.76800000000001
34,1.548
35,4.3180000000000005
36,8.426
37,13.459999999999999
38,29.194000000000006
39,5.575000000000001
40,7.37
41,5.962999999999999
42,16.038999999999998
43,5.694999999999999
44,5.7669999999999995
45,17.731
46,20.021000000000004
47,15.057999999999998
48,34.547000000000004
49,1.492
50,34.385999999999996
51,34.44500000000001
52,6.319000000000001
53,2.0100000000000002
54,5.826999999999999
55,36.727000000000004
56,16.043
57,11.359
58,8.742
59,10.001000000000001
60,3.6760000000000006
61,12.139999999999999
62,38.712
63,12.072
64,42.474000000000004
65,13.273000000000001
66,6.133
67,4.265
68,2.798
69,6.349999999999999
70,14.826999999999998
71,9.312
72,14.972999999999999
73,9.072
74,5.2040000000000015
75,9.242
76,1.675
77,18.118
78,16.656
79,6.195
80,7.231
81,19.202000000000005
82,30.73
83,5.534000000000001
84,5.810999999999999
85,15.302000000000001
86,10.718
87,21.249000000000002
88,5.813999999999999
89,14.823999999999998
90,18.404000000000003
91,4.449
92,8.609
93,12.558000000000002
94,17.122
95,4.854000000000001
96,12.998999999999999
97,26.371
98,1.6300000000000001
99,99.758
100,35.448
101,57.25099999999999
102,11.322000000000001
103,5.547
104,5.749
105,3.1490000000000005
106,9.73
107,41.731
108,7.098999999999999
109,7.05
110,4.094
111,14.400999999999996
112,9.954
113,11.015
114,2.11
115,26.520000000000003
116,15.619
117,16.391000000000002
118,14.206
119,11.572999999999999
120,29.082
121,6.787999999999999
122,9.156
123,5.003000000000001
124,52.602999999999994
125,17.153
126,12.477
127,25.235999999999997
128,16.806
129,11.127999999999998
130,11.068
131,16.112000000000002
132,19.509999999999998
133,11.181999999999999
134,3.5669999999999993
135,4.720000000000001
136,15.89
137,27.267000000000003
138,13.899000000000001
139,5.325000000000001
140,1.778
141,19.16
142,34.587
143,22.1
144,4.746
145,10.930000000000001
146,10.253
147,13.825
148,20.884
149,19.611
150,9.733
151,24.01
152,3.2580000000000005
153,27.819
154,39.932
155,40.933
156,9.846
157,7.733
158,7.022999999999999
159,25.445
160,5.68
161,24.919
162,12.544999999999998
163,67.084
164,5.543
165,12.934000000000001
166,26.522
167,9.546000000000001
168,30.206
169,8.502000000000002
170,16.46
171,7.074
172,20.742
173,11.043000000000001
174,3.8980000000000006
175,30.865000000000002
176,8.783999999999999
177,20.598
178,6.756
179,4.277
180,32.292
181,28.922000000000004
182,8.532
183,9.539
184,15.470000000000002
185,25.345999999999997
186,7.769999999999999
187,46.483
188,31.905
189,21.012
190,20.407
191,3.789
192,11.618
193,8.988
194,18.711000000000002
195,17.573
196,18.792000000000005
197,25.808
198,24.085999999999995
199,3.198
200,8.101
201,2.948
202,25.214000000000002
203,18.181
204,4.602
205,14.656000000000002
206,36.939
207,6.375
208,15.305000000000001
209,6.1259999999999994
210,32.002
211,7.931
212,27.936
213,44.999
214,19.642000000000003
215,4.644
216,15.342000000000002
217,53.385000000000005
218,7.038999999999999
219,1.9739999999999998
